,Date,Collection date,days,GHvsGK,GHvsGR,GHvsGRA,GKvsGH,GKvsGR,GKvsGRA,GRvsGH,GRvsGK,GRvsGRA,GRAvsGH,GRAvsGK,GRAvsGR
89,2021-11-01/2021-11-07,2021-11,0,-3.342620042553348,-1.1139433523068367,,3.342620042553348,2.228676690246511,,1.1139433523068367,-2.228676690246511,,,,
90,2021-11-08/2021-11-14,2021-11,7,-3.3433101031623416,-1.041392685158225,,3.3433101031623416,2.301917418004116,,1.041392685158225,-2.301917418004116,,,,
91,2021-11-15/2021-11-21,2021-11,14,-3.1109262422664203,-0.7634279935629372,,3.1109262422664203,2.347498248703483,,0.7634279935629373,-2.347498248703483,,,,
92,2021-11-22/2021-11-28,2021-11,21,-3.1347082247787115,-0.7900504736833514,0.0,3.1347082247787115,2.34465775109536,3.1347082247787115,0.7900504736833514,-2.34465775109536,0.7900504736833514,0.0,-3.1347082247787115,-0.7900504736833514
93,2021-11-29/2021-12-05,2021-11,28,-3.14674801363064,-0.7569619513137056,-0.3309932190414244,3.14674801363064,2.3897860623169342,2.8157547945892154,0.7569619513137056,-2.3897860623169342,0.4259687322722811,0.3309932190414244,-2.8157547945892154,-0.42596873227228116
94,2021-12-06/2021-12-12,2021-12,35,,,,,2.3784374020152352,2.024161894398029,,-2.3784374020152352,-0.3542755076172063,,-2.024161894398029,0.3542755076172063
95,2021-12-13/2021-12-19,2021-12,42,-3.1781852925373903,-0.8962505624616381,-1.680108786976679,3.1781852925373903,2.281934730075752,1.498076505560711,0.8962505624616381,-2.281934730075752,-0.7838582245150411,1.680108786976679,-1.4980765055607113,0.783858224515041
96,2021-12-20/2021-12-26,2021-12,49,,,,,2.2434514656445987,1.0738423341168377,,-2.2434514656445987,-1.169609131527761,,-1.0738423341168377,1.169609131527761
97,2021-12-27/2022-01-02,2021-12,56,,,,,2.0972134914424814,0.5490686605614183,,-2.0972134914424814,-1.5481448308810632,,-0.5490686605614183,1.5481448308810632
98,2022-01-03/2022-01-09,2022-01,63,,,,,2.1002379563569837,0.14762245517503905,,-2.1002379563569837,-1.9526155011819448,,-0.147622455175039,1.9526155011819448
99,2022-01-10/2022-01-16,2022-01,70,,,,,1.991820954460969,-0.022053410651194115,,-1.991820954460969,-2.013874365112163,,0.022053410651194153,2.013874365112163
100,2022-01-17/2022-01-23,2022-01,77,,,,,,-0.1337629617460694,,,,,0.13376296174606941,
101,2022-01-24/2022-01-30,2022-01,84,,,,,,-0.21198777012922945,,,,,0.21198777012922945,
102,2022-01-31/2022-02-06,2022-01,91,,,,,1.989647538809148,-0.2927143842993457,,-1.989647538809148,-2.2823619231084935,,0.2927143842993457,2.2823619231084935
103,2022-02-07/2022-02-13,2022-02,98,,,,,,-0.3458294208590188,,,,,0.3458294208590188,
104,2022-02-14/2022-02-20,2022-02,105,,,,,,-0.3769166503091696,,,,,0.3769166503091696,
105,2022-02-21/2022-02-27,2022-02,112,,,,,,-0.39766342572375274,,,,,0.39766342572375274,
106,2022-02-28/2022-03-06,2022-02,119,,,,,,-0.42012028513953925,,,,,0.4201202851395392,
107,2022-03-07/2022-03-13,2022-03,126,,,,,,-0.43968258043510167,,,,,0.43968258043510167,
108,2022-03-14/2022-03-20,2022-03,133,,-1.1792963989308927,-3.61462774806426,,,,1.1792963989308927,,-2.4353313491333672,3.61462774806426,,2.4353313491333672
109,2022-03-21/2022-03-27,2022-03,140,,,,,,,,,,,,
110,2022-03-28/2022-04-03,2022-03,147,,,,,,,,,,,,
111,2022-04-04/2022-04-10,2022-04,154,,,,,,,,,,,,
112,2022-04-11/2022-04-17,2022-04,161,,,,,,,,,-2.4537311410191323,,,2.453731141019132
113,2022-04-18/2022-04-24,2022-04,168,,,,,,,,,,,,
114,2022-04-25/2022-05-01,2022-04,175,,,,,1.9806290376248672,-0.4749440047508611,,-1.9806290376248672,-2.4555730423757285,,0.47494400475086107,2.4555730423757285
115,2022-05-02/2022-05-08,2022-05,182,,,,,,,,,-2.4501726451383763,,,2.4501726451383767
116,2022-05-09/2022-05-15,2022-05,189,,,,,,,,,-2.4496069457272713,,,2.4496069457272713
117,2022-05-16/2022-05-22,2022-05,196,,,,,,,,,-2.4508815454223924,,,2.4508815454223924
118,2022-05-23/2022-05-29,2022-05,203,,,,,,,,,,,,
119,2022-05-30/2022-06-05,2022-05,210,,,,,,,,,,,,
