Location,Slope
Turkey,0.10112420545765761
USA,0.008394026595098511
Turkey,0.10112420545765761
Turkey,0.10112420545765761
Israel,0.07490155865596644
Italy,0.07431804774301878
Spain,0.06780974027954316
Ireland,0.07342958825234402
France,0.0612355483901909
Germany,0.0291975838004124
Denmark,0.027674745702803125
South Korea,0.0359470373161788
France,0.0612355483901909
Japan,0.04016685544360124
Netherlands,0.058998029063608105
Switzerland,0.07136890825380293
Poland,0.095231595784638
Mexico,0.0708878064028956
Brazil,0.07665001171846936
Canada,0.06875782180615861
Belgium,0.02390055267045942
