Location,Slope
USA,0.006798135118643429
Turkey,0.06926718081581519
Israel,0.07095550138948835
Italy,0.06357879565759128
Spain,0.060151507653110906
Ireland,0.0689303523832976
France,0.04870264158081269
Germany,0.029113278788081214
Denmark,0.027644434815475356
South Korea,0.03294548620493031
France,0.04870264158081269
Japan,0.03970218627197877
Netherlands,0.04164345874760932
Switzerland,0.05726837041032994
Poland,0.06981049979722387
Mexico,0.05855684265014177
Brazil,0.06099536224073064
Canada,0.0569039450656387
Belgium,0.023762563451540705
