Clade,Date,Location,Freq
GH,2019-12-30/2020-01-05,Africa,24
GH,2019-12-30/2020-01-05,Asia,98
GH,2019-12-30/2020-01-05,Europe,580
GH,2019-12-30/2020-01-05,North America,460
GH,2019-12-30/2020-01-05,Oceania,56
GH,2019-12-30/2020-01-05,South America,2
GH,2020-01-06/2020-01-12,Asia,5
GH,2020-01-06/2020-01-12,Europe,2
GH,2020-01-06/2020-01-12,South America,1
GH,2020-01-13/2020-01-19,North America,1
GH,2020-01-20/2020-01-26,North America,4
GH,2020-01-27/2020-02-02,Africa,1
GH,2020-01-27/2020-02-02,Asia,5
GH,2020-01-27/2020-02-02,North America,5
GH,2020-02-03/2020-02-09,Asia,3
GH,2020-02-03/2020-02-09,Europe,2
GH,2020-02-03/2020-02-09,North America,1
GH,2020-02-10/2020-02-16,Asia,5
GH,2020-02-10/2020-02-16,Europe,2
GH,2020-02-17/2020-02-23,Africa,1
GH,2020-02-17/2020-02-23,Asia,6
GH,2020-02-17/2020-02-23,Europe,4
GH,2020-02-17/2020-02-23,North America,2
GH,2020-02-24/2020-03-01,Africa,9
GH,2020-02-24/2020-03-01,Asia,19
GH,2020-02-24/2020-03-01,Europe,423
GH,2020-02-24/2020-03-01,North America,506
GH,2020-03-02/2020-03-08,Africa,8
GH,2020-03-02/2020-03-08,Asia,12
GH,2020-03-02/2020-03-08,Europe,165
GH,2020-03-02/2020-03-08,North America,216
GH,2020-03-02/2020-03-08,Oceania,1
GH,2020-03-02/2020-03-08,South America,3
GH,2020-03-09/2020-03-15,Africa,9
GH,2020-03-09/2020-03-15,Asia,86
GH,2020-03-09/2020-03-15,Europe,1062
GH,2020-03-09/2020-03-15,North America,1621
GH,2020-03-09/2020-03-15,Oceania,20
GH,2020-03-09/2020-03-15,South America,19
GH,2020-03-16/2020-03-22,Africa,34
GH,2020-03-16/2020-03-22,Asia,161
GH,2020-03-16/2020-03-22,Europe,1326
GH,2020-03-16/2020-03-22,North America,3254
GH,2020-03-16/2020-03-22,Oceania,214
GH,2020-03-16/2020-03-22,South America,72
GH,2020-03-23/2020-03-29,Africa,28
GH,2020-03-23/2020-03-29,Asia,205
GH,2020-03-23/2020-03-29,Europe,1763
GH,2020-03-23/2020-03-29,North America,3588
GH,2020-03-23/2020-03-29,Oceania,332
GH,2020-03-23/2020-03-29,South America,90
GH,2020-03-30/2020-04-05,Africa,46
GH,2020-03-30/2020-04-05,Asia,207
GH,2020-03-30/2020-04-05,Europe,2207
GH,2020-03-30/2020-04-05,North America,4773
GH,2020-03-30/2020-04-05,Oceania,220
GH,2020-03-30/2020-04-05,South America,98
GH,2020-04-06/2020-04-12,Africa,18
GH,2020-04-06/2020-04-12,Asia,118
GH,2020-04-06/2020-04-12,Europe,1167
GH,2020-04-06/2020-04-12,North America,2896
GH,2020-04-06/2020-04-12,Oceania,85
GH,2020-04-06/2020-04-12,South America,38
GH,2020-04-13/2020-04-19,Africa,15
GH,2020-04-13/2020-04-19,Asia,117
GH,2020-04-13/2020-04-19,Europe,804
GH,2020-04-13/2020-04-19,North America,3005
GH,2020-04-13/2020-04-19,Oceania,32
GH,2020-04-13/2020-04-19,South America,35
GH,2020-04-20/2020-04-26,Africa,31
GH,2020-04-20/2020-04-26,Asia,170
GH,2020-04-20/2020-04-26,Europe,651
GH,2020-04-20/2020-04-26,North America,2625
GH,2020-04-20/2020-04-26,Oceania,11
GH,2020-04-20/2020-04-26,South America,52
GH,2020-04-27/2020-05-03,Africa,44
GH,2020-04-27/2020-05-03,Asia,128
GH,2020-04-27/2020-05-03,Europe,506
GH,2020-04-27/2020-05-03,North America,3055
GH,2020-04-27/2020-05-03,Oceania,35
GH,2020-04-27/2020-05-03,South America,95
GH,2020-05-04/2020-05-10,Africa,23
GH,2020-05-04/2020-05-10,Asia,141
GH,2020-05-04/2020-05-10,Europe,403
GH,2020-05-04/2020-05-10,North America,2226
GH,2020-05-04/2020-05-10,Oceania,55
GH,2020-05-04/2020-05-10,South America,84
GH,2020-05-11/2020-05-17,Africa,20
GH,2020-05-11/2020-05-17,Asia,79
GH,2020-05-11/2020-05-17,Europe,284
GH,2020-05-11/2020-05-17,North America,2025
GH,2020-05-11/2020-05-17,Oceania,47
GH,2020-05-11/2020-05-17,South America,66
GH,2020-05-18/2020-05-24,Africa,25
GH,2020-05-18/2020-05-24,Asia,189
GH,2020-05-18/2020-05-24,Europe,340
GH,2020-05-18/2020-05-24,North America,1631
GH,2020-05-18/2020-05-24,Oceania,27
GH,2020-05-18/2020-05-24,South America,62
GH,2020-05-25/2020-05-31,Africa,21
GH,2020-05-25/2020-05-31,Asia,233
GH,2020-05-25/2020-05-31,Europe,222
GH,2020-05-25/2020-05-31,North America,1355
GH,2020-05-25/2020-05-31,Oceania,46
GH,2020-05-25/2020-05-31,South America,28
GH,2020-06-01/2020-06-07,Africa,58
