Variant,Date,Location,Freq
Alpha,2019-12-30/2020-01-05,Africa,1
Alpha,2019-12-30/2020-01-05,Asia,8
Alpha,2019-12-30/2020-01-05,Europe,629
Alpha,2019-12-30/2020-01-05,North America,9
Alpha,2020-02-03/2020-02-09,Europe,1
Alpha,2020-02-24/2020-03-01,Europe,1
Alpha,2020-02-24/2020-03-01,North America,5
Alpha,2020-03-09/2020-03-15,Europe,3
Alpha,2020-03-16/2020-03-22,Europe,2
Alpha,2020-03-16/2020-03-22,North America,1
Alpha,2020-03-23/2020-03-29,Europe,1
Alpha,2020-04-06/2020-04-12,North America,4
Alpha,2020-04-13/2020-04-19,North America,2
Alpha,2020-04-13/2020-04-19,Oceania,1
Alpha,2020-04-20/2020-04-26,Europe,2
Alpha,2020-04-20/2020-04-26,North America,7
Alpha,2020-04-27/2020-05-03,North America,8
Alpha,2020-05-04/2020-05-10,Africa,5
Alpha,2020-05-04/2020-05-10,Asia,1
Alpha,2020-05-11/2020-05-17,Europe,1
Alpha,2020-05-11/2020-05-17,North America,4
Alpha,2020-05-18/2020-05-24,Europe,4
Alpha,2020-05-18/2020-05-24,North America,4
Alpha,2020-06-01/2020-06-07,North America,2
Alpha,2020-07-06/2020-07-12,North America,9
Alpha,2020-07-13/2020-07-19,Africa,1
Alpha,2020-07-13/2020-07-19,Asia,1
Alpha,2020-07-20/2020-07-26,North America,6
Alpha,2020-07-27/2020-08-02,Africa,1
Alpha,2020-07-27/2020-08-02,North America,25
Alpha,2020-08-03/2020-08-09,North America,1
Alpha,2020-08-10/2020-08-16,Europe,1
Alpha,2020-08-10/2020-08-16,North America,1
Alpha,2020-08-24/2020-08-30,Africa,1
Alpha,2020-08-24/2020-08-30,Europe,2
Alpha,2020-08-31/2020-09-06,Asia,1
Alpha,2020-08-31/2020-09-06,Europe,2
Alpha,2020-09-07/2020-09-13,Africa,1
Alpha,2020-09-14/2020-09-20,Europe,1
Alpha,2020-09-21/2020-09-27,Africa,1
Alpha,2020-09-21/2020-09-27,Europe,2
Alpha,2020-09-28/2020-10-04,Asia,1
Alpha,2020-09-28/2020-10-04,Europe,3
Alpha,2020-10-05/2020-10-11,Asia,1
Alpha,2020-10-05/2020-10-11,Europe,8
Alpha,2020-10-12/2020-10-18,Europe,4
Alpha,2020-10-19/2020-10-25,Europe,37
Alpha,2020-10-19/2020-10-25,North America,4
Alpha,2020-10-26/2020-11-01,Africa,1
Alpha,2020-10-26/2020-11-01,Asia,1
Alpha,2020-10-26/2020-11-01,Europe,79
Alpha,2020-10-26/2020-11-01,North America,3
Alpha,2020-11-02/2020-11-08,Europe,291
Alpha,2020-11-02/2020-11-08,North America,6
Alpha,2020-11-09/2020-11-15,Asia,3
Alpha,2020-11-09/2020-11-15,Europe,695
Alpha,2020-11-09/2020-11-15,North America,1
Alpha,2020-11-16/2020-11-22,Africa,1
Alpha,2020-11-16/2020-11-22,Asia,2
Alpha,2020-11-16/2020-11-22,Europe,744
Alpha,2020-11-16/2020-11-22,North America,4
Alpha,2020-11-23/2020-11-29,Africa,1
Alpha,2020-11-23/2020-11-29,Asia,6
Alpha,2020-11-23/2020-11-29,Europe,491
Alpha,2020-11-23/2020-11-29,North America,4
Alpha,2020-11-30/2020-12-06,Africa,1
Alpha,2020-11-30/2020-12-06,Asia,29
Alpha,2020-11-30/2020-12-06,Europe,630
Alpha,2020-11-30/2020-12-06,North America,10
Alpha,2020-11-30/2020-12-06,Oceania,1
Alpha,2020-12-07/2020-12-13,Africa,4
Alpha,2020-12-07/2020-12-13,Asia,10
Alpha,2020-12-07/2020-12-13,Europe,3211
Alpha,2020-12-07/2020-12-13,North America,6
Alpha,2020-12-07/2020-12-13,Oceania,5
Alpha,2020-12-14/2020-12-20,Africa,5
Alpha,2020-12-14/2020-12-20,Asia,27
Alpha,2020-12-14/2020-12-20,Europe,5780
Alpha,2020-12-14/2020-12-20,North America,23
Alpha,2020-12-14/2020-12-20,Oceania,6
Alpha,2020-12-21/2020-12-27,Africa,7
Alpha,2020-12-21/2020-12-27,Asia,212
Alpha,2020-12-21/2020-12-27,Europe,4622
Alpha,2020-12-21/2020-12-27,North America,40
Alpha,2020-12-21/2020-12-27,Oceania,11
Alpha,2020-12-21/2020-12-27,South America,7
Alpha,2020-12-28/2021-01-03,Africa,92
Alpha,2020-12-28/2021-01-03,Asia,1530
Alpha,2020-12-28/2021-01-03,Europe,19438
Alpha,2020-12-28/2021-01-03,North America,923
