pango_lin,week,freq
BA.1,2021-11-01/2021-11-07,6
BA.1,2021-11-08/2021-11-14,10
BA.1,2021-11-15/2021-11-21,10
BA.1,2021-11-22/2021-11-28,102
BA.1,2021-11-29/2021-12-05,1977
BA.1,2021-12-06/2021-12-12,6302
BA.1,2021-12-13/2021-12-19,35914
BA.1,2021-12-20/2021-12-26,73427
BA.1,2021-12-27/2022-01-02,109646
BA.1,2022-01-03/2022-01-09,118629
BA.1,2022-01-10/2022-01-16,106850
BA.1,2022-01-17/2022-01-23,103341
BA.1,2022-01-24/2022-01-30,90616
BA.1,2022-01-31/2022-02-06,81227
BA.1,2022-02-07/2022-02-13,71295
BA.1,2022-02-14/2022-02-20,49344
BA.1,2022-02-21/2022-02-27,34108
BA.1,2022-02-28/2022-03-06,21427
BA.1,2022-03-07/2022-03-13,14339
BA.1,2022-03-14/2022-03-20,11308
BA.1,2022-03-21/2022-03-27,8404
BA.1,2022-03-28/2022-04-03,5471
BA.1,2022-04-04/2022-04-10,3821
BA.1,2022-04-11/2022-04-17,1991
BA.1,2022-04-18/2022-04-24,1398
BA.1,2022-04-25/2022-05-01,585
BA.1,2022-05-02/2022-05-08,332
BA.1,2022-05-09/2022-05-15,204
BA.1,2022-05-16/2022-05-22,95
BA.1,2022-05-23/2022-05-29,49
BA.1,2022-05-30/2022-06-05,5
BA.2,2021-11-29/2021-12-05,8
BA.2,2021-12-13/2021-12-19,54
BA.2,2021-12-20/2021-12-26,8
BA.2,2021-12-27/2022-01-02,1763
BA.2,2022-01-03/2022-01-09,242
BA.2,2022-01-10/2022-01-16,401
BA.2,2022-01-17/2022-01-23,749
BA.2,2022-01-24/2022-01-30,1143
BA.2,2022-01-31/2022-02-06,1465
BA.2,2022-02-07/2022-02-13,2144
BA.2,2022-02-14/2022-02-20,2823
BA.2,2022-02-21/2022-02-27,3953
BA.2,2022-02-28/2022-03-06,4910
BA.2,2022-03-07/2022-03-13,6978
BA.2,2022-03-14/2022-03-20,10732
BA.2,2022-03-21/2022-03-27,17175
BA.2,2022-03-28/2022-04-03,23255
BA.2,2022-04-04/2022-04-10,30406
BA.2,2022-04-11/2022-04-17,30120
BA.2,2022-04-18/2022-04-24,34501
BA.2,2022-04-25/2022-05-01,34368
BA.2,2022-05-02/2022-05-08,36711
BA.2,2022-05-09/2022-05-15,38430
BA.2,2022-05-16/2022-05-22,33598
BA.2,2022-05-23/2022-05-29,24442
BA.2,2022-05-30/2022-06-05,7948
BA.2,2022-06-06/2022-06-12,972
BA.2,2022-06-13/2022-06-19,3
BA.3,2021-11-29/2021-12-05,1
BA.3,2021-12-06/2021-12-12,1
BA.3,2022-01-24/2022-01-30,4
BA.3,2022-01-31/2022-02-06,1
BA.3,2022-02-07/2022-02-13,1
BA.3,2022-02-14/2022-02-20,3
BA.3,2022-02-21/2022-02-27,2
BA.3,2022-03-07/2022-03-13,4
BA.3,2022-03-14/2022-03-20,3
BA.3,2022-03-28/2022-04-03,1
BA.3,2022-04-04/2022-04-10,6
BA.3,2022-04-11/2022-04-17,2
BA.3,2022-04-18/2022-04-24,3
BA.3,2022-04-25/2022-05-01,1
BA.3,2022-05-02/2022-05-08,3
BA.3,2022-05-09/2022-05-15,5
BA.4,2021-12-27/2022-01-02,4
BA.4,2022-03-28/2022-04-03,1
BA.4,2022-04-04/2022-04-10,8
BA.4,2022-04-11/2022-04-17,15
BA.4,2022-04-18/2022-04-24,58
BA.4,2022-04-25/2022-05-01,97
BA.4,2022-05-02/2022-05-08,182
BA.4,2022-05-09/2022-05-15,405
BA.4,2022-05-16/2022-05-22,693
BA.4,2022-05-23/2022-05-29,867
BA.4,2022-05-30/2022-06-05,545
BA.4,2022-06-06/2022-06-12,61
BA.4,2022-06-13/2022-06-19,2
BA.5,2021-12-27/2022-01-02,2
BA.5,2022-03-28/2022-04-03,3
BA.5,2022-04-11/2022-04-17,8
BA.5,2022-04-18/2022-04-24,14
BA.5,2022-04-25/2022-05-01,52
BA.5,2022-05-02/2022-05-08,127
BA.5,2022-05-09/2022-05-15,348
BA.5,2022-05-16/2022-05-22,810
BA.5,2022-05-23/2022-05-29,1111
BA.5,2022-05-30/2022-06-05,834
BA.5,2022-06-06/2022-06-12,155
BA.5,2022-06-13/2022-06-19,1
